Country,Year,State,Type of Region,Month,Peak demand MW,Peak demand met MW,Peak Demand Not Met MW,Peak demand not met %
India,FY-2023,Madhya Pradesh,Western Region,Jan-24,18252,17817,435,2.00%
India,FY-2023,Maharashtra,Western Region,Jan-24,28650.997,28650.997,0,0.00%
India,FY-2023,Manipur,North East Region,Jan-24,257.851,248,9.85,4.00%
India,FY-2023,Meghalaya,North East Region,Jan-24,405,405,0,0.00%
India,FY-2023,Mizoram,North East Region,Jan-24,162,162,0,0.00%
India,FY-2023,NagalAnd,North East Region,Jan-24,162.923,162,0.92,1.00%
India,FY-2023,Odisha,Eastern Region,Jan-24,5040.510653,5040.510653,0,0.00%
India,FY-2023,Puducherry,Southern Region,Jan-24,452.556213,452.556213,0,0.00%
India,FY-2023,Punjab,Northern Region,Jan-24,9370.44,9370.44,0,0.00%
India,FY-2023,Rajasthan,Northern Region,Jan-24,18128,18128,0,0.00%
India,FY-2023,Sikkim,Eastern Region,Jan-24,127.979963,127.979963,0,0.00%
India,FY-2023,Tamil Nadu,Southern Region,Jan-24,16620.9638,16620.9638,0,0.00%
India,FY-2023,Telangana,Southern Region,Jan-24,13810,13810,0,0.00%
India,FY-2023,The Dadra And Nagar Haveli And Daman And Diu,Western Region,Jan-24,1294,1294,0,0.00%
India,FY-2023,Tripura,North East Region,Jan-24,354,354,0,0.00%
India,FY-2023,Uttar Pradesh,Northern Region,Jan-24,22703,22703,0,0.00%
India,FY-2023,UttarakhAnd,Northern Region,Jan-24,2635,2405,230,9.00%
India,FY-2023,West Bengal,Eastern Region,Jan-24,7267.698761,7267.698761,0,0.00%
India,FY-2023,Andaman And Nicobar IslAnds,Eastern Region,Dec-23,63,60,3,5.00%
India,FY-2023,Andhra Pradesh,Southern Region,Dec-23,11052,11052,0,0.00%
India,FY-2023,Arunachal Pradesh,North East Region,Dec-23,163.245,163,0.25,0.00%
India,FY-2023,Assam,North East Region,Dec-23,1553,1553,0,0.00%
India,FY-2023,Bihar,Eastern Region,Dec-23,5094.873316,5094.873316,0,0.00%
India,FY-2023,ChAndigarh,Northern Region,Dec-23,201,201,0,0.00%
India,FY-2023,Chhattisgarh,Western Region,Dec-23,4725.75,4725.75,0,0.00%
India,FY-2023,Delhi,Northern Region,Dec-23,4884,4884,0,0.00%
India,FY-2023,Goa,Western Region,Dec-23,704.242625,703.75,0.49,0.00%
India,FY-2023,Gujarat,Western Region,Dec-23,21430.4784,21408,22.48,0.00%
India,FY-2023,Haryana,Northern Region,Dec-23,8225,8225,0,0.00%
India,FY-2023,Himachal Pradesh,Northern Region,Dec-23,2162,2162,0,0.00%
India,FY-2023,JharkhAnd,Eastern Region,Dec-23,1810.039317,1808.931347,1.11,0.00%
India,FY-2023,Karnataka,Southern Region,Dec-23,15005,15005,0,0.00%
